高丽史[(高丽)郑麟趾等撰 国立汉城大学奎章阁档案馆本]	http://vdisk.weibo.com/lc/f7C4p3rp63hBy80h6 	B957
燕行录全集 全100册	http://vdisk.weibo.com/lc/f7C4p3rp63hC2nI92 	WH0B
清实录 蒙文内蒙古文化出版社1989.12	http://vdisk.weibo.com/lc/f7C4p3rp63hB3QMPg 	RH7J
沙俄侵华史	http://vdisk.weibo.com/lc/f7C4p3rp63hB5lYEi 	B7UZ
中国绘画全集	http://vdisk.weibo.com/lc/f7C4p3rp690wzGKOW 	S7O5
中國美術全集	http://vdisk.weibo.com/lc/f7C4p3rp690wzG3LU 	HBVP
书法	http://vdisk.weibo.com/lc/f7C4p3rp690wzGsUa 	C14U
解读敦煌	http://vdisk.weibo.com/lc/f7C4p3rp690sZzHxw 	GGKQ
失落的文明-华夏、广西人民出版社（全24册）	http://vdisk.weibo.com/lc/f7C4p3rp66Tpq6ps0 	F181
土司	http://vdisk.weibo.com/lc/f7C4p3rp66TazV1DE 	UQL5
二十世纪文库	http://vdisk.weibo.com/lc/f7C4p3rp66Uf9RDhQ 	T335
新知文库	http://vdisk.weibo.com/lc/f7C4p3rp66UeUqr9E 	A66G
民俗研究	http://vdisk.weibo.com/lc/f7C4p3rp66UZrKZd2 	ZFN8
刺绣、织绣	http://vdisk.weibo.com/lc/f7C4p3rp65LKnqxwe 	D5L5
心理学	http://vdisk.weibo.com/lc/f7C4p3rp64ihk15cG 	F9TO
道家	http://vdisk.weibo.com/lc/f7C4p3rp64ihzoqsC 	K070
日本	http://vdisk.weibo.com/lc/f7C4p3rp64ihApedM 	Z4MU
天文	http://vdisk.weibo.com/lc/f7C4p3rp63hHSlkye 	E4II
科学名著文库	http://vdisk.weibo.com/lc/f7C4p3rp63hGSO85w 	N62R
汉译大众精品文库	http://vdisk.weibo.com/lc/f7C4p3rp63hGi7UZM 	INVS
石刻史料新编	http://vdisk.weibo.com/lc/f7C4p3rp63hFogDE8 	ZT4B
台湾学者论中国史	http://vdisk.weibo.com/lc/f7C4p3rp63hCgNmgy 	GSY0
中华文化通志	http://vdisk.weibo.com/lc/f7C4p3rp5zeNfiu0W	SJ9L
胡族信仰	http://vdisk.weibo.com/lc/f7C4p3ropAAHfyLE8	SL44
亚洲鸟类版画.Birds of Asia	http://vdisk.weibo.com/lc/f7C4p3rp5zbCo2ZjE	HVA0
古文字研究	http://vdisk.weibo.com/lc/f7C4p3rp5zbCqc45w	SSG8
童年回忆 中国童话系列	http://vdisk.weibo.com/lc/f7C4p3ropJrke4biq	KMV2
三毛全集	http://vdisk.weibo.com/lc/f7C4p3rp5t57hesuO	Q64J
飞碟探索杂志 零散收集	http://vdisk.weibo.com/lc/f7C4p3rp5t6P07bEm	W390
当代电影和电影艺术	http://vdisk.weibo.com/lc/f7C4p3rp5tNe8TfUG	XQSK
掌故、考证、考据学	http://vdisk.weibo.com/lc/f7C4p3ros35pYCQPw	G4FK
1984中国小说年鉴	http://vdisk.weibo.com/lc/f7C4p3ros3P1H4bya	UECO
一些珠宝知识	http://vdisk.weibo.com/lc/f7C4p3ros2UvBU8hc	BN7K
